an	an_sh
fo	f_sh o_sh
fueh	f_sh ueh_sh
fr	f_sh r_sh
fu	f_sh u_sh
fuen	f_sh uen_sh
fy	f_sh y_sh
fah	f_sh ah_sh
ghan	ghan_sh
ghau	ghau_sh
gheh	gheh_sh
ghiah	ghiah_sh
ghuoe	ghuoe_sh
ghen	ghen_sh
ghia	ghia_sh
ghie	ghie_sh
ghuaon	ghuaon_sh
ghian	ghian_sh
gheu	gheu_sh
ghih	ghih_sh
ghiau	ghiau_sh
ghin	ghin_sh
ghiu	ghiu_sh
ghoe	ghoe_sh
ghieu	ghieu_sh
ghoh	ghoh_sh
ghon	ghon_sh
ghua	ghua_sh
ghioe	ghioe_sh
ghue	ghue_sh
ghioh	ghioh_sh
ghion	ghion_sh
ghiaon	ghiaon_sh
ghiun	ghiun_sh
gha	gha_sh
ghuah	ghuah_sh
ghe	ghe_sh
ghaon	ghaon_sh
ghi	ghi_sh
ghuan	ghuan_sh
ghng	ghng_sh
ghm	ghm_sh
ghn	ghn_sh
ghiuih	ghiuih_sh
gho	gho_sh
ghueh	ghueh_sh
ghr	ghr_sh
ghu	ghu_sh
ghuen	ghuen_sh
ghy	ghy_sh
ghah	ghah_sh
gan	g_sh an_sh
gau	g_sh au_sh
geh	g_sh eh_sh
giah	g_sh iah_sh
guoe	g_sh uoe_sh
gen	g_sh en_sh
gia	g_sh ia_sh
gie	g_sh ie_sh
guaon	g_sh uaon_sh
gian	g_sh ian_sh
geu	g_sh eu_sh
gih	g_sh ih_sh
giau	g_sh iau_sh
gin	g_sh in_sh
giu	g_sh iu_sh
goe	g_sh oe_sh
gieu	g_sh ieu_sh
goh	g_sh oh_sh
gon	g_sh on_sh
gua	g_sh ua_sh
gioe	g_sh ioe_sh
gue	g_sh ue_sh
gioh	g_sh ioh_sh
gion	g_sh ion_sh
giaon	g_sh iaon_sh
giun	g_sh iun_sh
ga	g_sh a_sh
guah	g_sh uah_sh
ge	g_sh e_sh
gaon	g_sh aon_sh
gi	g_sh i_sh
guan	g_sh uan_sh
gng	g_sh ng_sh
gm	g_sh m_sh
gn	g_sh n_sh
giuih	g_sh iuih_sh
go	g_sh o_sh
gueh	g_sh ueh_sh
gr	g_sh r_sh
gu	g_sh u_sh
guen	g_sh uen_sh
gy	g_sh y_sh
gah	g_sh ah_sh
than	th_sh an_sh
thau	th_sh au_sh
theh	th_sh eh_sh
thiah	th_sh iah_sh
thuoe	th_sh uoe_sh
then	th_sh en_sh
thia	th_sh ia_sh
thie	th_sh ie_sh
thuaon	th_sh uaon_sh
thian	th_sh ian_sh
theu	th_sh eu_sh
thih	th_sh ih_sh
thiau	th_sh iau_sh
thin	th_sh in_sh
thiu	th_sh iu_sh
thoe	th_sh oe_sh
thieu	th_sh ieu_sh
thoh	th_sh oh_sh
thon	th_sh on_sh
thua	th_sh ua_sh
thioe	th_sh ioe_sh
thue	th_sh ue_sh
thioh	th_sh ioh_sh
thion	th_sh ion_sh
thiaon	th_sh iaon_sh
thiun	th_sh iun_sh
tha	th_sh a_sh
thuah	th_sh uah_sh
the	th_sh e_sh
thaon	th_sh aon_sh
thi	th_sh i_sh
thuan	th_sh uan_sh
thng	th_sh ng_sh
thm	th_sh m_sh
thn	th_sh n_sh
thiuih	th_sh iuih_sh
tho	th_sh o_sh
thueh	th_sh ueh_sh
thr	th_sh r_sh
thu	th_sh u_sh
thuen	th_sh uen_sh
thy	th_sh y_sh
thah	th_sh ah_sh
tan	t_sh an_sh
tau	t_sh au_sh
teh	t_sh eh_sh
tiah	t_sh iah_sh
tuoe	t_sh uoe_sh
ten	t_sh en_sh
tia	t_sh ia_sh
tie	t_sh ie_sh
tuaon	t_sh uaon_sh
tian	t_sh ian_sh
teu	t_sh eu_sh
tih	t_sh ih_sh
tiau	t_sh iau_sh
tin	t_sh in_sh
tiu	t_sh iu_sh
toe	t_sh oe_sh
tieu	t_sh ieu_sh
toh	t_sh oh_sh
ton	t_sh on_sh
tua	t_sh ua_sh
tioe	t_sh ioe_sh
tue	t_sh ue_sh
tioh	t_sh ioh_sh
tion	t_sh ion_sh
tiaon	t_sh iaon_sh
tiun	t_sh iun_sh
ta	t_sh a_sh
tuah	t_sh uah_sh
te	t_sh e_sh
taon	t_sh aon_sh
ti	t_sh i_sh
tuan	t_sh uan_sh
tng	t_sh ng_sh
tm	t_sh m_sh
tn	t_sh n_sh
tiuih	t_sh iuih_sh
to	t_sh o_sh
tueh	t_sh ueh_sh
tr	t_sh r_sh
tu	t_sh u_sh
tuen	t_sh uen_sh
ty	t_sh y_sh
tah	t_sh ah_sh
